title,artist,upbeat,lyrical,late_night,sad,workout,romantic,chill,reflective,energetic,trap_drill,pop,rnb,dancehall_jamaican,kpop,indie_alt
Scorsese Baby Daddy,SZA,10,20,15,5,0,10,15,10,5,0,0,10,0,0,0
Low,SZA,5,20,15,10,0,10,20,10,5,0,0,5,0,0,0
Kill Bill,SZA,10,20,15,5,0,10,15,10,5,0,0,10,0,0,0
Are You OK?,Daniel Caesar,5,20,15,10,0,20,15,10,0,0,0,5,0,0,0
Always,Daniel Caesar,10,20,15,10,0,20,15,10,0,0,0,10,0,0,0
Let Me Go,Daniel Caesar,0,30,20,10,0,15,20,5,0,0,0,20,0,0,0
Shot my Baby,Daniel Caesar,5,20,15,15,0,15,10,10,5,0,0,5,0,0,0
Best Part,Daniel Caesar,5,20,15,5,0,25,20,5,0,0,0,5,0,0,0
Japanese Denim,Daniel Caesar,5,20,15,10,0,25,15,5,0,0,0,5,0,0,0
Little Rowboat,Daniel Caesar,5,20,15,10,0,20,15,10,0,0,0,5,0,0,0
Streetcar,Daniel Caesar,0,20,20,10,0,20,20,10,0,0,0,20,0,0,0
calm and patient,Jhene Aiko,0,20,20,10,0,10,20,15,0,0,0,15,0,0,0
born tired,Jhene Aiko,0,20,20,10,0,10,20,20,0,0,0,20,0,0,0
none of your concern,Jhene Aiko,0,20,30,20,0,10,20,10,0,0,0,10,0,0,0
Wake Up,Travis Scott,10,15,20,0,10,5,15,5,10,10,0,5,0,0,5
Yosemite,Travis Scott,10,15,20,0,5,0,20,10,10,10,0,5,0,0,0
Can't Say,Travis Scott,10,15,20,0,15,0,10,5,15,10,0,5,0,0,5
PBT,Travis Scott,10,20,15,0,10,0,10,5,15,15,0,10,0,0,0
Apple Pie,Travis Scott,15,10,20,0,20,0,10,10,10,10,0,5,0,0,0
Drugs You Should Try It,Travis Scott,0,15,20,15,0,0,20,15,10,15,0,0,0,0,0
Mile High,Travis Scott,10,20,30,0,10,0,20,10,0,0,0,0,0,0,0
"darling, he lied",starfall,10,20,5,15,0,10,10,10,5,0,5,5,0,0,5
cigarettes,starfall,5,15,20,15,0,10,15,10,5,0,0,5,0,0,0
Enchanted,Taylor Swift,10,25,5,0,0,30,10,10,5,0,100,0,0,0,0
How does it feel to be forgotten,Selena Gomez,0,20,10,65,0,0,25,40,0,0,100,60,0,0,0
Ojos Tristes,Selena Gomez,5,20,15,30,0,10,10,5,0,0,100,0,0,0,0
stuck like this,starfall,10,20,5,15,0,10,10,10,5,0,80,5,0,0,5
Cinderella,Future,10,20,15,0,10,5,15,5,10,5,0,5,0,0,0
GTA,Future,10,15,20,0,15,0,10,5,15,10,0,0,0,0,0
Accepting My Flaws,Future,5,20,15,10,5,5,10,15,5,10,0,0,0,0,0
Always Be My Fault,Future,5,15,20,15,5,5,10,10,5,5,0,5,0,0,0
Scholarships,Future,10,15,20,0,15,0,10,10,15,15,0,0,0,0,0
Live From the Gutter,Future,0,10,20,10,15,0,15,10,15,20,0,0,0,0,0
West Coast,Lana Del Rey,5,20,15,10,0,15,20,10,0,0,0,0,0,0,5
Diet Mountain Dew,Lana Del Rey,20,25,15,10,0,10,10,5,5,0,0,0,0,0,0
The Abyss,Lana Del Rey,0,25,15,25,0,10,15,10,0,0,0,0,0,0,0
Lust For Life,Lana Del Rey,10,20,15,10,0,15,15,10,5,0,0,0,0,0,10
Young And Beautiful,Lana Del Rey,5,20,15,20,0,25,10,5,0,0,0,0,0,0,0
Summertime Sadness,Lana Del Rey,5,20,15,25,0,10,15,5,0,0,5,0,0,0,0
Luna,Spanish Music,10,20,10,5,0,25,10,5,5,0,0,0,0,0,10
Ansiedades,Spanish Music,5,20,10,15,0,20,10,5,5,0,0,0,0,0,10
MIA,Spanish Music,10,20,5,0,10,15,10,5,10,0,5,5,0,0,5
Odio,Spanish Music,10,20,10,15,0,20,10,5,5,0,0,0,0,0,5
No Me Ame,Spanish Music,10,20,5,10,0,25,10,5,5,0,5,0,0,0,5
Like Crazy,K-Pop,10,15,5,10,5,15,5,10,10,0,10,5,0,10,0
Girl of My Dreams,K-Pop,10,15,0,0,5,20,5,5,10,0,20,0,0,10,0
Still With You,K-Pop,5,20,15,10,0,20,10,10,0,0,5,0,0,5,0
Stay Alive,K-Pop,10,10,5,5,10,5,5,5,10,0,20,0,0,15,0
Alone,K-Pop,15,10,5,10,5,10,5,10,15,0,10,0,0,15,0
Cupid,K-Pop,20,10,0,0,10,15,5,0,20,0,10,0,0,10,0
ETA,K-Pop,10,10,5,0,5,10,10,5,10,0,20,5,0,20,0
New Jeans,K-Pop,15,10,0,0,10,0,5,0,15,0,20,0,0,25,0
Denver,Jack Harlow,10,20,15,0,15,0,10,10,15,10,0,5,0,0,0
Churchill Downs,Jack Harlow,10,20,15,0,10,0,10,10,15,10,0,5,0,0,5
Love Yourz,J. Cole,5,30,20,15,0,10,10,25,5,0,0,30,0,0,0
January 28th,J. Cole,0,30,20,0,0,0,20,20,0,0,0,10,0,0,0
Apperently,J. Cole,10,25,15,0,10,0,15,15,5,0,0,5,0,0,0
Memory Lane,Nas,0,30,20,10,0,0,20,20,0,0,0,0,0,0,0
Metro Spider,Young Thug,10,20,10,0,15,0,10,5,20,10,0,0,0,0,0
Trance,Young Thug,20,15,10,0,20,0,10,5,15,5,0,0,0,0,0
Broke Opps,King Von,10,20,20,0,10,0,10,10,10,10,0,0,0,0,0
War With Us,King Von,10,20,15,0,15,0,5,10,15,10,0,0,0,0,0
War,King Von,10,20,20,0,15,0,5,10,15,5,0,0,0,0,0
How it Go,King Von,10,20,15,10,15,0,5,10,10,15,0,0,0,0,0
Where does your spirit go,The Kid Laroi,10,20,15,20,0,5,10,10,5,0,5,0,0,0,0
So Done,The Kid Laroi,5,20,15,25,5,10,15,15,10,20,30,10,0,0,0
Monster,Kanye West,20,20,10,0,20,0,10,10,10,0,0,0,0,0,0
Moon,Kanye West,0,20,25,20,0,0,20,10,0,0,0,15,0,0,10
Street Lights,Kanye West,5,20,25,20,0,5,15,25,5,0,0,25,0,0,0
Praise God,Kanye West,10,20,10,0,20,0,10,10,20,0,0,0,0,0,0
Us Against The World,Chris Grey,10,20,10,5,5,20,10,10,5,0,5,0,0,0,0
Prada and Versace,Chris Grey,10,15,5,0,10,0,10,5,15,20,0,5,0,0,5
Drive,Weeknd,5,20,20,10,0,15,15,10,5,0,0,0,0,0,0
Faith,Weeknd,10,20,25,15,5,0,5,10,5,0,5,0,0,0,0
Hardest To Love,Weeknd,10,20,15,20,0,10,10,10,5,0,0,0,0,0,0
Damage,H.E.R,5,25,15,10,0,20,15,10,0,0,0,100,0,0,0
Jungle,H.E.R,0,20,30,0,0,10,25,15,0,0,0,100,0,0,0
Every Kind of Way,H.E.R,10,15,20,0,0,25,15,10,0,0,0,5,0,0,0
Marry You,Bruno Mars,30,15,0,0,10,25,0,0,15,0,5,0,0,0,0
Talking To The Moon,Bruno Mars,5,20,15,25,0,15,10,20,5,0,25,15,0,0,0
Dandelions,Ruth B.,0,30,20,20,0,10,20,10,0,0,0,0,0,0,0
The One That Got Away,Katy Perry,15,20,10,25,5,15,5,15,15,0,70,0,0,0,0
lovely,Billie Eilish & Khalid,0,20,30,20,0,10,20,0,0,0,0,0,0,0,0
Night Changes,One Direction,10,20,15,15,0,20,10,10,0,0,90,0,0,0,0
Viva La Vida,Coldplay,20,20,5,10,5,10,10,10,10,0,10,0,0,0,0
Thodi Der,Shreya Ghoshal & Farhan Saeed,0,30,10,0,0,40,10,10,0,0,0,0,0,0,0
Agar Tum Saath Ho,Arijit Singh & Alka Yagnik,0,25,10,30,0,20,10,5,0,0,0,0,0,0,0
Balam Pichkari,Ranveer Singh & Deepika Padukone,30,10,0,0,15,20,0,0,15,0,10,0,0,0,0
Sun Saathiya,Priya Saraiya,10,20,0,0,10,30,10,10,10,0,0,0,0,0,0
Kaun Tujhe,Palak Muchhal,0,30,10,50,0,30,5,5,0,0,0,0,0,0,0
Phir Kabhi,Arijit Singh,0,30,20,20,0,30,0,0,0,0,0,0,0,0,0
O Meri Jaan,Papon,0,20,10,10,0,40,10,10,0,0,0,0,0,0,0
Mohe Rang Do Laal,Shreya Ghoshal,10,30,0,0,0,40,10,10,0,0,0,0,0,0,0
Khamoshiyan,Arijit Singh,0,20,10,20,0,30,10,10,0,0,0,0,0,0,0
Aaj Se Teri,Shreya Ghoshal,0,30,0,0,0,40,20,10,0,0,0,0,0,0,0
Jeene Laga Hoon,Atif Aslam,10,30,5,0,0,40,5,5,5,0,0,0,0,0,0
Baarish,Arijit Singh,0,30,15,20,0,25,10,0,0,0,0,0,0,0,0
